supplier_id,supplier_name,supplier_category,city,contact_person,lead_time_days,payment_terms_days,reliability_score,active_flag
S001,Pak Proteins Karachi,protein,Karachi,Muhammad Bilal,2,15,0.95,1
S002,Punjab Meat Works,protein,Lahore,Sajid Hussain,3,21,0.93,1
S003,Metro Dry Goods,dry goods,Lahore,Adeel Rauf,4,30,0.89,1
S004,Spice Route Foods,sauces_spices,Karachi,Farhan Qadir,3,21,0.91,1
S005,WrapPack Industries,packaging,Faisalabad,Usman Tahir,5,30,0.87,1
S006,Refresh Beverages,beverages,Islamabad,Hamza Iqbal,2,14,0.92,1
S007,Northern Agri Fresh,dry goods,Rawalpindi,Hassan Naeem,2,15,0.88,1
S008,National Packaging Corp,packaging,Karachi,Rizwan Ali,4,30,0.9,1
S009,Urban Sauces Co,sauces_spices,Lahore,Tariq Shabbir,2,21,0.94,1
S010,Punjab Beverage Traders,beverages,Faisalabad,Kamran Yousaf,3,21,0.84,0
